label,text
negative,agree the poor in india are treated badly their poors seek a living in singapore and are treated like citizens they are given free medical treatment given food daily sim cards to call home to tell their family that they are fine if covid 19 case treated foc in hospitals
positive,if only i could have spent the with this cutie vc sakshi__s i n g h coast crossing republik …
positive,will nature conservation remain a priority in post corona bangladesh | the daily star
negative,"coronavirus disappearing in italy show this to ""intellectuals"" who say lockdowns do not work …"
negative,uk records lowest daily virus death toll since start of lockdown govt
negative,joe biden's coronavirus web address lands on a donation page for his campaign he is profiting from fear demopos
negative,respected sir in our telangana all private teachers and lecturers are in horrible situations due to covid 19 and mainly private management (chaithanya nd narayana) b'caz they told to all faculty's like “no work no pay “ so pls take the action nd save their life's
negative,so is also 20 times more lethal than influenza think about that
negative,thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet &share
negative,thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet&share
negative,coronavirus has a 3 4% mortality rate the flu is 0 1% they are completely different your logic is like saying a bugatti and a peugeot are the same thing because they are both ‘cars'
positive,| is officially free city and the celebration goes on
negative,what worries me most these days me and a lot other people is now on the matter i'd like to say only that the drastic division among ourselves is the only reason why as a species (the only smart one someone thinks) in the universe mind you 1/5
negative,… i do not understand the point of demanding enough time before lockdown italy has suffered because of half hearted attempts and so is us now pm being the highest decision making authority has to take the decision
negative,you all know one thing the muslims will not fight us for the toilet paper
negative,covid 19 cyclones earthquakes riots still we humans have not learnt a simple lesson to live and let live when we cannot let live then we do not have the right right to live let god destroy this evil world this proved again that not to believe humans loudly_crying_face
negative,i will fill my heart to your soul during covid 19 break out on the world
negative,maybe if i bolt my front door shut coronavirus will stay out
negative,may be a solution to corona virus get some of that on you and no one will come around
negative,here are 13 claims has made about coronavirus that have already been disputed # xmbvwlnwqes twitter …
negative,phew i was sooo worried with the shortage of tests available for the general public i was worried about our sports celebrities not being properly cared for but thank goodness am i right
positive,they will not spread …
negative,idiot no comparison with obama's response according to ronald klain obama administration tested 1 million people for h1n1 in the first month after the first us diagnosed case the first us case was 50+ days ago and you have not event tested 10 000 people yet
negative,state governors decide when their schls & businesses can reopen (not the wh) without universal frequent testing we cannot isolate the infected we cannot stop the spread of pls call ur governor asap keep ur community safe usa
positive,finally accepts thanks to godi media
positive,two weeks ago i celebrated my birthday with a picnic on the beach ten days into lockdown here in goa and this feels like a very long time ago … …
negative,las vegas trip booked fuck the coronavirus
positive,good morning twittizens wish you a corona free day
positive,how ted ed is helping families students and teachers navigate the covid 19 pandemic … via – at madurai índia
negative,there is no injections for handle girls do not trust your bfs
negative,all sides must stop the carnage and work to protect citizens from conflict and covid19 threat by declaring ceasefire
negative,coronavirus countries enforce mass closures to stem spread
negative,they are habitual liars and constantly hiding the facts about corona death till just to save its plastic business
negative,some idiot is commenting on all city of vancouver posts telling people to sit in a sauna and not worry about can we please get rid of these people spreading harmful propaganda
negative,these issues can be exposed later already modi government has done nothing against coronavirus god will determine & punish them for they responsibility right now need of togetherness is needed for fight against virus government should use experience of senior leaders of our party …
positive,̇d19 alexgabyfan my baby trying to navigate to watch gaby and alex (top kids show) listen carefully she was trying to tell …
positive,hardship of lockdown comes with the ease of blessing that allah has brought family member together with my son asim town punjab pakistan
negative,no that is what you are talking about for some reason the topic of this conversation is delaying the primaries due to the coronavirus outbreak you are ignoring the pandemic very irresponsible
negative,threat assessment for march 9th back in black
negative,norwegian cruise line managers told sales staff to lie to customers about coronavirus via
negative,2020 covid 19 coronavirus us cases 580 us deaths 100 panic level mass hysteria 2009 h1n1 virus us cases 60 8 million us deaths 12 469 panic level chill
negative,your masturbatory ego rallies put your magats at risk but you do not really care do you
negative,because of covid 19 guidelines restricting visitation to hospitals and care centers john could not see his father in person before he died now he is asking members of his community to donate ipads that will be distributed to local medical centers
negative,worthwhile read pass the information along we have got to look out for each other the government has failed us on a disturbing level
positive,hoping that i would emerge on the other side of this more healthy and fit here's my dinner salad twitter com/iozlyen8rz
negative,give it a break rob this constant haranguing is doing nothing but dragging down people who need to have their spirits picked up save the politicizing for when this crisis is over
negative,what would be the situation if raga was pm entire world would laugh at us instead india leading the covid fight …
negative,was planning on making chicken noodle soup tonight but apparently all of the grocery stores in my city are empty this is fucking ridiculous i just wanted to make tonight's meal while ppl are selfishly stocking up on food they probably do not need smh
negative,coronavirus death rate mi blocked rate gong at same rate
negative,he wants to convey modi govt revoked article 370 as a result facing 370 cases of corona virus how sick
negative,coronavirus could hit housing hard as australia teeters on edge of recession the guardian
